Feature	Gain	Cover	Frequency
mactivos_margen_tend6	0.00280652630729854	0.00345019535287458	0.00443205072471451
ctrx_quarter_normalizado_delta1	0.00276782603784249	0.00288372435338472	0.00467591954449546
Master_Fvencimiento	0.00274265131403361	0.00271882511886334	0.00606491151803039
mrentabilidad_annual_tend6	0.00272243743605202	0.00304161671465191	0.00535451104301634
variabilidad_ren_tend6	0.00272107953159083	0.00289446631161813	0.00570440978444117
Master_fechaalta_lag1	0.00272027467721947	0.00382747340474441	0.00607551451019478
Master_status	0.00268247412190059	0.00051957777295562	0.000233265827616553
mcomisiones_otras_tend6	0.00267930807533884	0.002237761849626	0.00454868363852279
mtarjeta_visa_debitos_automaticos_tend6	0.00267634556527031	0.00582703664684224	0.00323391261013858
cproductos	0.00261071206365563	0.00312513817094906	0.00326572158663175
ctrx_quarter_tend6	0.00257873962388993	0.00262069672738608	0.00525908411353684
dif_transf	0.00255718485971312	0.00306013169379628	0.00286280788438497
mrentabilidad_annual_delta1	0.00255486139146152	0.00255409738472926	0.00543933498033145
mcuentas_saldo_delta1	0.00253867792141138	0.0054659362863855	0.00502581828592029
Visa_fechaalta	0.0025370027563688	0.00218174970030518	0.00554536490197534
mv_mpagospesos	0.00251788516035825	0.00126530759467701	0.00202517150339826
ctarjeta_visa_trx_tend6	0.00247623306879975	0.0024696302964846	0.00299004379035764
ccaja_ahorro	0.00247241750025697	0.00353693631823283	0.00134658000487738
variabilidad_ren_lag1	0.002451258752268	0.00227814036449198	0.00577863072959189
mv_fechaalta	0.00240662915642135	0.00237361449191784	0.00558777687063289
chomebanking_trx	0.00239574936123933	0.00308909483888124	0.00405034300679652
tmobile_app	0.00239505390157618	0.000668472812427059	0.00174949370712415
mv_msaldopesos_lag1	0.00239269673654661	0.000860826464588646	0.00167527276197343
cliente_antiguedad_lag1	0.00237928628192818	0.00281982395393122	0.00556657088630412
ctrx_quarter_delta1	0.00233846303287245	0.00330606432393785	0.00452747765419401
mvr_mpagospesos_lag1	0.00233276473267578	0.000997126051936374	0.00202517150339826
mcuentas_saldo_lag1	0.00233275808264783	0.004613914992532	0.00573621876093434
cproductos_delta1	0.00233207378586521	0.00236476755922626	0.000583164569041384
cliente_antiguedad	0.00230709943853092	0.00242724467435545	0.00533330505868756
mtransferencias_recibidas	0.00230611745873277	0.00146524441973802	0.00333994253178247
ren_prom_mes_lag1	0.00226026626284858	0.0016804903028718	0.00432602080307063
mv_fechaalta_tend6	0.00225926882293226	0.00189064330006388	0.00289461686087814
mpayroll_lag1	0.00225075602966279	0.00159166461749677	0.00159044882465832
mcomisiones	0.00224156711546115	0.00238679568618796	0.00409275497545407
chomebanking_trx_tend6	0.00222611394117576	0.00214544742875377	0.00460169859934474
mv_Fvencimiento_lag1	0.00219985051147604	0.00184528505573377	0.00507883324674223
Visa_Fvencimiento_lag1	0.00216741907097003	0.00161481417581821	0.0051106422232354
Visa_fechaalta_tend6	0.00216309349536499	0.00424603215256865	0.00326572158663175
Master_Fvencimiento_lag1	0.00213076267656162	0.00202980273697652	0.00514245119972856
mv_status01	0.00211966154568482	0.000539055580147215	0.00034989874142483
Visa_cconsumos_tend6	0.00205864627781404	0.00163563197372614	0.00390190111649508
mtarjeta_visa_consumo_tend6	0.00204261095884315	0.00169990669542157	0.00213120142504215
mv_fechaalta_lag1	0.00202964617221831	0.0023653744894241	0.00499400930942712
mv_Fvencimiento	0.0020238480920389	0.00174672630115392	0.00461230159150912
mcomisiones_otras	0.00201792433591504	0.00200105500374777	0.00406094599896091
mrentabilidad	0.00201349335116312	0.00178976184373019	0.00356260536723463
Visa_Fvencimiento	0.002010914517944	0.00159375916385623	0.00460169859934474
mcomisiones_tend6	0.00198913349686756	0.00213232127735638	0.0037852682026868
tcallcenter_tend6	0.00198082387924243	0.00592136155278293	0.00167527276197343
mv_mpagominimo	0.00195358319678226	0.00330556149155791	0.00342476646909758
mcuenta_corriente_delta1	0.00195176500200109	0.00387752165496584	0.00342476646909758
mcomisiones_lag1	0.00193177438312098	0.00137497111448686	0.00435782977956379
mv_status06_tend6	0.00192428150241642	0.000604229412198966	0.000201456851123387
chomebanking_trx_delta1	0.00192053067562575	0.00412616067483606	0.00335054552394686
mrentabilidad_tend6	0.00187642746043566	0.00182276123584423	0.00417757891276918
ren_prom_mes_delta1	0.00187238690284474	0.00179514898257453	0.0043472267873994
mprestamos_personales_delta1	0.00186973253592729	0.00555593314898014	0.00134658000487738
Visa_mpagominimo	0.0018608946460724	0.00252763918934776	0.00384888615567313
thomebanking	0.00185165548485581	0.00175758594519473	0.00125115307539788
mactivos_margen_delta1	0.00184814009386663	0.00193848023933808	0.00367923828104291
cprestamos_personales	0.00184579518217156	0.00260484537802599	0.000827033388822326
ren_prom_mes_tend6	0.00181813397006087	0.00177869338990717	0.00364742930454974
Visa_msaldototal	0.00179757105171466	0.001287900352502	0.00247049717430259
ctrx_quarter_normalizado_tend6	0.00179370854917811	0.00168257471581536	0.00389129812433069
variabilidad_ren_delta1	0.00179231706086894	0.00158731530933098	0.00458049261501596
Visa_mconsumospesos_tend6	0.0017874049275199	0.00185749835524872	0.00414576993627602
mcomisiones_otras_lag1	0.00177303952002552	0.00130885886670801	0.00410335796761846
mcomisiones_mantenimiento	0.00175976937820002	0.0037959886512344	0.00254471811945331
cpayroll_trx_lag1	0.00175885222809599	0.00054784808411248	0.000466531655233107
mpasivos_margen_tend6	0.00171695665664669	0.00571811056334411	0.00396551906948141
Master_mfinanciacion_limite_lag1	0.00170458501030478	0.00364894626120193	0.00383828316350874
Visa_mpagospesos_tend6	0.00166824782351143	0.00160455624173069	0.0035944143437278
ctarjeta_visa_debitos_automaticos_tend6	0.0016409920953012	0.00180661647803281	0.00190853858958998
Visa_mfinanciacion_limite	0.00163590520753053	0.00190256073454184	0.0033081335552893
mpasivos_margen_delta1	0.00161262450492402	0.00127414900005083	0.0032127066258098
Visa_mlimitecompra	0.00158951951517174	0.00195555182086295	0.00345657544559075
ren_prom_mes	0.00158780248702243	0.00185732032955573	0.00301124977468642
Visa_Finiciomora	0.00158613940419286	0.00287351125198572	0.000519546616055051
ccomisiones_mantenimiento_delta1	0.0015635462452792	0.00168480537237476	0.000572561576876995
num_nas_tend6	0.00155994434613205	0.00161696023370851	0.00385948914783752
Master_mfinanciacion_limite	0.00155612805707678	0.00194337744287725	0.00360501733589219
ctransferencias_recibidas_tend6	0.00154964441240231	0.00428834607310347	0.00360501733589219
mrentabilidad_delta1	0.00154598711457547	0.00157762914555885	0.00362622332022097
ccomisiones_otras	0.00154507743871089	0.0036670877625557	0.00283099890789181
Master_mlimitecompra	0.00154322338512796	0.00130347733194974	0.00338235450044002
Visa_mpagominimo_lag1	0.001541930111282	0.00165372718379364	0.00308547071983714
mcaja_ahorro_dolares_tend6	0.00153826474078763	0.00188649213088629	0.00229024630750798
mcaja_ahorro_tend6	0.00153820895906056	0.0020016278488194	0.00357320835939902
chomebanking_trx_lag1	0.00153467107196752	0.0022466668191541	0.00395491607731702
dif_transf_tend6	0.0015218777338248	0.00212842590016199	0.00355200237507024
mv_cconsumos_tend6	0.0015050911653749	0.001837878296393	0.00252351213512453
ccomisiones_otras_tend6	0.00150374504425301	0.00185573137923509	0.00336114851611125
mrentabilidad_lag1	0.00149110296644721	0.00115806596126756	0.00381707717917996
Visa_mlimitecompra_lag1	0.00147226547692784	0.00150999335405292	0.00308547071983714
Master_mlimitecompra_lag1	0.00147174362692206	0.00142301417665268	0.00335054552394686
Visa_mpagospesos_lag1	0.00146139074420902	0.00189516963593473	0.00353079639074147
Visa_mpagominimo_tend6	0.00142332851175728	0.00133114739175106	0.00291582284520692
